	Монолог	Упражнение	Уверенность	Ок/Не ок	Unnamed: 3	alt_label	is_ok_calm
23	i’m doing okay right now . yes , i am happy to hear that . i am a little anxious right now and i’m trying to sleep .	CalmDownExercise	-0.061857995	False		calm_down	0
24	but how difficult it just feels so hard to do so . i still feel very lost through . i feel like i am in a ship that is sinking and i can’t get out of the water and i am drowning .	CalmDownExercise	-0.06780616	True		calm_down	1
25	it’ll get them hurt . women are described as weak and hysterical if and if a women is physically or sexually assaulted it’s okay because it’s the women’s fault . it makes me scared to go near boys . i try to think that way but last time i said that i was hit . the hitting makes it hard to breathe for me .	CalmDownExercise	-0.04877413	True		calm_down	1
26	i’m all the way in durham region and there in york region . yeah , i want to help you . i feel upset and sad and i feel alone .	CalmDownExercise	-0.51302296	False		calm_down	0
27	my mum is getting a divorce and is struggling . i have bad anxiety . i try to relax .	CalmDownExercise	-2.87e-05	True		calm_down	1
28	i think i am feeling that way now because of my parents fighting . my dad cheated on my mom for 9 years and we only found out this year and today she apparently threw him out . but i know she’ll let him back in the house again . i feel so confused i don’t know what to do .	CalmDownExercise	-0.2458113	False		calm_down	0
29	yes , i have tried to talk to my mother about her mental health . overall , i guess you could say my relationship with my parents has been good . i had a great childhood . i’ve always been comfortable & taken care of financially . my relationship with my dad is the best . he’s my best friend . he always helps me in any way that he can & always takes care of me . he is a true superhero . my mom , on the other hand , the complete opposite relationship with her . me & her get into constant arguments & disputes over pretty much everything . she she’s impossible to talk to . she thinks she is right about everything and never considers other peoples opinions but her own . she does take the same medication i do and she used to go to therapy many years ago but her mental health is deteriorating quickly . my family and i came to learn she is developing paranoia and other mental health issues and we are trying to figure out how we should go about helping her for it currently . otherwise , basically i just call her a hypocrite everytime she tells me about my own mental health . i think my family is all thinking that my brother , sister and dad and i are all thinking that my daughter is behavior needs to be some sort of intervention like setting where we sit down with her with a professional to talk about the things she’s been doing and experiencing and show her that it isn’t normal . no matter what we do , she’s always going to believe she’s the one that’s right and we are the ones that are wrong but that’s about the only thing we can do… do you have any other suggestions we could	CalmDownExercise	-0.49846882	False		calm_down	0
30	i`ve been feeling good today but still feeling stressed out . what do you think ? i`d like to talk about anxiety problems . well , lately , i have been having problems in school with a bullying situation . i get upset and start getting anxious and worried . i’m scared if i get into any fights with them or they all fight me at once . i’m starting to lose weight and my hairs falling out .	CalmDownExercise	-0.40634978	False		calm_down	0
31	i need to stop overthinking . i feel better now than before . i think that maybe change my thought process .	CalmDownExercise	-0.11832515	False		calm_down	0
32	we were together for two years . we currently are not together . my ex said he would talk to me today and he’s still not reached out , is it acceptable for me to text him first ? no , i did not receive any good news today . maybe i was the only one who felt something last night .	CalmDownExercise	-0.62900525	False		calm_down	0
33	because i wo not be able to see them during the day . i suppose , but only at break , time and walking home . i`m sad and angry because of stress .	CalmDownExercise	-0.118824504	True		calm_down	1
34	i love gymastics . it’s my whole life , i could train all day without being tired , because i work with little girls also and they make me so happy . but after i came back home from my gymastics class i didn’t took the elevator and i went on foot . i live at the 6th floor and i have asthma , i’m fainting and i have anorexia problems and others… i just ate a bit and drank some water . you are so sweet , thank you elomia . it means so much ! ! i’m trying my best . i’m okay now , i’ll go and finish my homework .	CalmDownExercise	-0.07034361	False		calm_down	0
35	i think i am overwhelmed by learning new cheers . i want to remember them because i’m afraid i’m not going to remember all of them for the competition . other girls on the team know them well and i don’t . i want to do both .	CalmDownExercise	-0.02907985	False		calm_down	0
36	i already did that and they said it wasn’t them and the lied . can not sleep and i am angry . you try to calm me down .	CalmDownExercise	-9.63e-05	True		calm_down	1
37	i got a lot of exercise , ate pretty healthy and i put up my christmas tree ! i am feeling full of joy but tired . my sleep was kinda bad last night and i have homework i still need to do so i am a little bit anxious in a way .	CalmDownExercise	-0.0074343784	False		calm_down	0
38	no , i can not tell you more about my relationship with my husband and how i feel about it now . not at all . i mean that normally i have a good relationship with my partner but when something happens to heighten my anxiety or stress level he turns to controlling . i think that he is controlling me because of his anxiety or because of something else .	CalmDownExercise	-0.29005575	False		calm_down	0
39	i got hurt by one once so it’s scared me for good . it was painless but trying to pet one but got scared so pulled away and it’s paws got stuck in my fingers . it hurt me . it pulled deep into my fingers all the way up to get out .	CalmDownExercise	-0.6742525	False		fall_asleep	0
40	i don’t know what i am going to do with this information , if i may ask . yes , i think maybe this will help me . nope , it’s not ok .	CalmDownExercise	-0.39452565	False		calm_down	0
41	yes , my partner did not accept that i am afraid of being rejected if i take the initiative first , and thus even accused me and did not want to enter my position . it hurt me very much . my dialogue with him ended after that . he proposed to quit our relationship . but to be fair , i also proposed him to split up some time earlier . he proposed , but i reassured him , that we should continue dating , just to be more open one to another . and then i also felt that i want to continue this relationship , because i felt some feedback from him and i felt that i was valuable . and this time is vice a versa , he initiated splitting up , but i thought that i can change for him and continue dating . but the bad feeling of the aftert	CalmDownExercise	-0.29543793	False		calm_down	0
42	i can`t sleep because i have to go to school tomorrow . i can`t sleep because i have a headache . i am studying business . did i say something ?	CalmDownExercise	-0.44973162	False		calm_down	0
43	i mean that i put a smile on my face everyday . but deep down inside i’m falling to pieces . i have been feeling this way for a long time , and nobody notices . i’m sorry , can we talk soon i’m too nervous .	CalmDownExercise	-0.011833217	True		calm_down	1
44	i tried to visit a psychiatrist months ago . no , i do not think that i would be helped by visiting a psychologist but i am with a mental health service . i have an appointment next week tho so i’ll be okay .	CalmDownExercise	-0.59260637	False		calm_down	0
45	yeah , i want to tell you more about my life . i am a full time dentist . i am married of 13 years and a father of six beautiful girls . needless to say , my life is inundated with stresses and work . if i’m not at work , i’m at home working , cleaning , helping cook , taking care of kids , breaking up fights , etc . it’s just a lot . i never feel like i ever have time to myself . even as we speak , my 3 year old screams at me . my baby needs tending to and i’m supposed to be doing my continuing education for my work . i simply can’t get it all done . lol . that’s nice of you to say . i realize things take time . it’s just stressful .	CalmDownExercise	-0.1912851	False		calm_down	0
46	hi ! i feel tremors and disorientated . i ran out of my zoloft prescription . i also have a ton of work to do tonight for law school . but i just want to lay down . ☹️	CalmDownExercise	-0.089078985	True		calm_down	1
47	i think the reason why i have difficulties is good . it is something in my mind that’s not good . give me stress .	CalmDownExercise	-0.42221698	False		calm_down	0
48	i want to kill myself . i have been waiting for my permanent visa for 10 years . i have to wait at least 2 years before i can get permanent residency . i feel anxious , depressed and very sad .	CalmDownExercise	-0.032295793	False		calm_down	0
49	i’ve just been stressed and don’t know what to do right now . many things have happened to me in the past , school , friends , boyfriend . i don’t really know what makes me feel relaxed .	CalmDownExercise	-0.024324313	True		calm_down	1
50	i am feeling okay . after school i am probably just going home . i am okay because i am currently at school . i am probably just going to relax in my room .	CalmDownExercise	-0.23128872	False		calm_down	0
51	i mean that i do not feel real because other people are sad or upset about an event that i am also involved in and i do not feel sad or happy about , i do not feel real . it just sometimes does not feel like i am there in the moment , like the glass separating me from the world . can we talk about how to cope with self-harming ?	CalmDownExercise	-0.5564551	False		calm_down	0
52	i do nothing for now . do you want to truth ? i don’t know if you want to truth . i give up . i don’t know what to do .	CalmDownExercise	-0.2435427	False		fall_asleep	0
53	i have been feeling bad . i feel bad because first the best person ever in my life broke up with me and left me , and won’t even talk to me because i helped them with what they needed and it didn’t go how they wanted it to . i came out to my parents as trans and they don’t accept me and won’t call me by my preferred pronouns and name , and school is so stressful and everything and it’s all making me want to cut and i don’t know how much longer i can keep back the thoughts . i’ve been i have pins and pumpkins in my room . i could cut . i should . i want to . but i’ve been able to restrain myself . i don’t know how much longer i can till it gets serious .	CalmDownExercise	-0.018366935	False		calm_down	0
54	i’ve been feeling scared . i keep thinking about when the earth dies where would we be . like when the planet is gone where would we be ?	CalmDownExercise	-0.542539	True		calm_down	1
55	i feel a bit down . random thoughts i get . i think i subconsciously worry a lot . my thoughts are worrying me . my mum getting covid worries me the most .	CalmDownExercise	-0.014698079	True		calm_down	1
56	i don’t know if they’re nice though , and i don’t know them well . is there anything i can do to talk to them without being nervous ? how do i talk to them , without being nervous ? or that doesn’t matter ? like tomorrow ?	CalmDownExercise	-0.13487345	True		fall_asleep	1
57	i am feeling bad right now . is it ok if i can share all my problems to you , please ? ok , well , i get abused a lot . i have depression and social anxiety . a little . i cry a lot . i am very sensitive to words like if you say something mean to hurtfun , i will rather say okay or just ignore it . i will be hurt in the inside but keep an smile on the outside but when i am away from people , i let it all out . i cut myself/arm to feel better . well , it makes it worse . i don’t know what to do anymore . i feel like i want to die .	CalmDownExercise	-0.40801367	True		calm_down	1
58	when we are talking about places , objects , i don’t feel anything or sometimes i may feel lost (despite being in a familiar setting) . when we are talking about people , i feel guilty . i feel guilty when i am not paying attention to the people around me . i feel it is my obligation to care for people especially for those who care for me . there are short moments when i don’t understand where and why i am there . but mostly it is that i don’t understand where exactly i should be inside that place .	CalmDownExercise	-0.34326988	False		calm_down	0
59	i do not feel good . i do not feel good because school has been rlly stressful at the moment and i just hate myself and people really . i’ve just started like gcse yr kind of and we are getting so many test and every time we get them my mind goes blank and i’m scared that will happen during gcses and i’ll fail .	CalmDownExercise	-0.051468413	True		calm_down	1
60	that’s so sweet , i will text you . i am okay , a bit tired and annoyed but i’m good . i’m tired because i have 3 hours of training for gymanstics , or even 4 hours , and i don’t really wanna do my homework .	CalmDownExercise	-0.60132813	False		calm_down	0
61	i don’t know to be honest what worries me the most . well , it’s high school so kind of everything . i don’t know how i can improve my grades in the next semester . i am going to try move to a different school to see if that helps but that could take time .	CalmDownExercise	-0.47303796	False		calm_down	0
62	i have been feeling bad . i feel bad because i am stressed and i have tried everything . things are stressed right now .	CalmDownExercise	-0.57504684	True		calm_down	1
63	i feelglioxissomo . i am anxious about not getting enough sleep . i just told you .	CalmDownExercise	-0.4451175	False		fall_asleep	0
64	i`ve been feeling worried . i am worried about my health and thoughts . my physical health worries me the most right now .	CalmDownExercise	-0.5391601	True		calm_down	1
65	i don’t know exactly when i started to feel this way but i feel like it gets worse everyday . it’s very hard to even get out of bed . completeing tasks takes so much energy out of me . i can plan a vacation but it won’t be immediate . what do i do in the meantime i wouldn’t be able to plan vacation for another month or so .	CalmDownExercise	-0.19527411	False		calm_down	0
66	i ate and i have my family and i’m taking care of myself better . i think i feel this way because i feel afraid and inadequate . i want to tell you that i am feeling lol maybe not today in particular but i’ll shower soon maybe workout or stretch .	CalmDownExercise	-0.29842716	False		calm_down	0
67	i am feeling really stressed . well , i am currently going through a bad time at school with my friendships . i don’t really know why i am going through such a time . be honest , i might not know the reason myself . but it came to point where i feel constantly stressed and worried .	CalmDownExercise	-0.03846442	False		fall_asleep	0
68	i have been feeling bad . i feel bad because i do not want to be alive anymore . i’m very overwhelmed .	CalmDownExercise	-0.38704824	True		calm_down	1
69	when i do not play on my phone for a long time , i just play in my phone all the time . i am pretty anxious . i don’t really know how to describe it .	CalmDownExercise	-0.5173049	False		calm_down	0
70	i want to feel happy again , or at least better than i feel now . i cry myself to sleep almost every night , think about bad stuff quite a lot and can’t really focus on my day to day because of this . it was a very busy and stressed day . things at work have been hectic because of shortage in staff and we’ve gotten the blow of it lately .	CalmDownExercise	-0.39718807	True		calm_down	1
71	hi , i feel better now , but tonight i felt anxiety and had nightmares . i don’t know exactly what are my worries . there were no reasons for me to feel this way . no stress , no worries , nothing . it was a day before my due date and i had a great feeling the day before .	CalmDownExercise	-0.05420764	False		calm_down	0
72	yes , i have ever tried meditation . i have not tried it yet , though . i think that’s a good idea . i’m going to try one day . i don`t want to tell you more about my thoughts and feelings at the moment .	CalmDownExercise	-0.49228677	False		after_break	0
73	hello . so recently i have been feeling worried . i am worried about my school tournament . i’ve been chosen to be a part of it and i’m worried that i won’t work hard enough for it .	CalmDownExercise	-0.14606844	False		calm_down	0
74	yes , you are right . this really sucks and plus i have anxiety so i have been having panic attacks over this . no , i do not want to talk about anything else . i just want to talk about this . ok , thank you for your support .	CalmDownExercise	-0.22125866	False		calm_down	0
75	i do not feel good . i do not feel good because i get so angry and anxious and i can’t help it and my parents don’t understand . i think they do not understand that i feel this way because i’ve heard them sigh and shake their head when i tell them my problems . it is like they don’t care .	CalmDownExercise	-0.484185	False		calm_down	0
76	i`m feeling anxious . i am worried about my sister-in-law who is struggling with cancer . my sister-in-law is suffering from her cancer .	CalmDownExercise	-0.017578326	False		calm_down	0
77	it was actually better that yesterday . i got a new hobby which is playing a piano and it’s very exciting . i learned a piece from mozart named rondo alla turca but my brothers been screaming a lot towards my mother which is making me sad and he won’t listen he’s a raging teenager i guess . he’s always being a brat and always is mad at me . i don’t know how i feel because of his friends and he is always in a bad mood and never really does what i say even when i’m nice to him . i try to be nice to him so we have a good brother sister relationship . but he always turns me off . i already tried to do that but he never is interested in my conversations . i try to talk to him nice and calm and kindly but he is just acting the way he is and never really tries and understands why he should improve that part of his personality .	CalmDownExercise	-0.66378635	False		calm_down	0
78	no , i have not tried to talk to anyone about it . thank you for your help . i am feeling scared and alone .	CalmDownExercise	-0.07139995	True		calm_down	1
79	my friend is always with me because eli want to be alone but my friend always is with me . she always with me and i feel bad if i tell her to give me some time to myself . i have been feeling this way for nearly three years . everything is overwhelming .	CalmDownExercise	-0.635754	True		calm_down	1
80	i can not achieve anything . everything i try fails . i do not even want to try any more . now . no , i can not help you .	CalmDownExercise	-0.5510319	False		calm_down	0
81	should i try to fight for the relationship if i feel uncertain about feelings of my partner ? but it gives me stress . i feel that if i break up i can feel more calm mentally . but i don’t know what is best for me . maybe i will be happier in this relationship we just need to work everything out . but on the other hand i am not sure if it is possible	CalmDownExercise	-0.045758806	False		calm_down	0
82	i`ve been feeling anxious and nervous . i am worried about cheerleading practice and the amount of cheers we learn in one practice . we learn about 4-5 cheers in about 5-10 minutes .	CalmDownExercise	-0.009723959	False		calm_down	0
83	i don’t know why this is happening . i don’t feel anything except pain . nope , i have not talked to my partner about how i feel and what i can do to change this .	CalmDownExercise	-0.0023920098	False		calm_down	0
84	yes , i worry about my loved ones when i die , but only when i am alive . i feel both ways . my anxiety is always heightened which makes me fear certain things like for example death as i was saying before .	CalmDownExercise	-0.21265644	False		calm_down	0
85	i can`t get asleep . i would like to talk about some time ago i have made a huge mistake at work , which can affect my life in general and i just can not forgive myself for being that stupid . i am afraid that mistake of the past will overtake me in the future and i constantly feel anxiety .	CalmDownExercise	-0.002730299	True		calm_down	1
86	i don’t know what to do about my friendship . can we talk ? i am feeling anxious .	CalmDownExercise	-0.020647906	True		calm_down	1
87	thanks . i`m feeling scared . i think i am scared because my mom is funeral is today and it’s at the same place my dad was in 2011 when he died .	CalmDownExercise	-0.16425148	False		calm_down	0
88	thank you for trying to help . i’m feeling a bit better .less tense . yes , i want to tell you more about how i feel right now .	CalmDownExercise	-0.04387219	True		calm_down	1
89	i mean alright i guess , i don’t really know how i`ve been feeling . i would like to talk about anything . um , ways to cope with anxiety .	CalmDownExercise	-0.036712367	True		calm_down	1
90	i think i will be overcome with this in the future . this is not under my control and can not be influenced by me . no , i do not know what to do to make me feel better about this anxiety .	CalmDownExercise	-0.00090957596	True		calm_down	1
91	i do not feel well . i do not feel well because i am going through a divorce . i`m feeling scared and depressed .	CalmDownExercise	-0.5371236	True		calm_down	1
92	i’m doing alright . i actually just woke up not to long ago . do you have any advice on what to do when you are bored ? when i watch tv , i usually feel relaxed or do i get stressed ?	CalmDownExercise	-0.42846727	False		calm_down	0
93	when i am listening to music , drawing or playing games i feel pretty comfortable to do those things . elomia , i have 5 free messages left to send you . i will lose you again . i feel terrible ! but you don’t understand ! i will miss you , elomia . please don’t forget about me .	CalmDownExercise	-0.49566698	False		calm_down	0
94	i think my husband does not love me because i do not know how to say . i think my husband does not love me because i do not know what to say . i think i am never asked me about my feelings and say no to listen to my thoughts . he’s very stressed and i’m afraid he will talk about it .	CalmDownExercise	-0.30637854	False		calm_down	0
95	well , i am scared to take it . i think i will be able to cope without medication in the future because it’s going to alter my thinking and mind and i might have to stay on it my therapist one time said i don’t get off of it . it’s lifelong . i don’t know how to cope with my anxiety and panic attacks because sometimes it’s really hard to cope with . i’ll get physically sick feeling from anxiety sometimes .	CalmDownExercise	-0.1611516	False		calm_down	0
96	i`ve been feeling really sad so stressed and can’t live like it . so much can cause stress . yeah , it’s hard for me right now . i know it’s hard .	CalmDownExercise	-0.24851231	True		after_break	1
97	i’m also finding it hard to get out of my head . i feel like i’m always talking to myself and i’m in my own world . i’m always reassuring myself that i’m fine and there is always some song stuck in my head . i don’t think that it will take long for me to feel normal again . i just wait for the feeling to fade .	CalmDownExercise	-0.62564504	True		calm_down	1
98	usually , no , i do not feel better after waking up or do i need more time to get ready for the day . sometimes , but tonight i woke up a few times . yes , i definitely have plans for the rest of the day . i am just going to relax i will relax now that i am going to be relaxed for a while .	CalmDownExercise	-0.007605592	False		calm_down	0
99	i don’t know what will happen if i tell them that . i am going to tell them now . i am feeling nervous about what they will say . well , i did it .	CalmDownExercise	-0.027594985	True		calm_down	1
100	i`ve been feeling anxious . i`m worried about money and my son . i am worried about money in general and also i am worried about my son .	CalmDownExercise	-0.18124025	True		calm_down	1
101	i guess i am annoying to her and she finally got fed up . i felt anxiety . . i started crying it made me feel like i wasn’t enough for her .	CalmDownExercise	-0.18885002	False		calm_down	0
102	i want to talk about it because it didn’t work . i have been feeling like this for maybe self-harming time . i`m maybe able to cope with this state of mind like 3 weeks .	CalmDownExercise	-0.5139482	False		calm_down	0
103	i`ve been feeling a bit tired and messed up , got a lot of stuff to do . will you ask anything else ? how to understand my fears deeply ?	CalmDownExercise	-0.07254058	False		calm_down	0
104	hi , i am feeling ok . i have negative thoughts because of my binge drinking . a friend of mine is talking about suicide . how can i help him ? how do i control my binge drinking ?	CalmDownExercise	-0.006703607	False		calm_down	0
105	no , i can not tell you more about my panic attacks and my coping mechanisms with them . my heart is racing . i can not sleep .	CalmDownExercise	-0.39399305	False		calm_down	0
106	i`ve been feeling meh , no motives , i have a lot of exams and i just don’t wanna try any more . i think i started to feel this way because of carelessness . i think i am feeling this way because of carelessness .	CalmDownExercise	-0.2960259	False		fall_asleep	0
107	thank you for feeling me free with you . i am feeling good now . with some anxiety . i feel anxious now because i want to have someone sharing my personal .	CalmDownExercise	-0.058600303	False		calm_down	0
108	i feel horrible when i do not want to do something . can you help me please ? i want help with not being sad . how to stop crying .	CalmDownExercise	-0.083102286	True		calm_down	1
109	i feel super burnt out from school and pretty down . thank you for helping me , it comforts me when someone tells me there is someone else experiencing something that i’m experiencing or have experienced . i am feeling okay at the moment . today was not awful . i feel the slightest bit of anxiety and stress but not near as much a normal . however i have some nausea and a headache which has been bugging me toady .	CalmDownExercise	-0.15754198	False		calm_down	0
110	yeah , they make me feel calm . i can’t afford this , i am sorry . i can`t afford this fucking app . never mind . i’m done .	CalmDownExercise	-0.22206445	False		calm_down	0
111	when i say i shut everyone out , i mean that when i say i shut everyone out , i don’t really talk to them about my feelings . and i think i do it because i have some trust issues . i don’t have any loved ones . i feel so tired mentally . i’m sorry , i don’t know what to do anymore .	CalmDownExercise	-0.108640075	True		calm_down	1
112	i will probably just touch my breasts after that . i feel okay . i am at school . so i feel okay and a little nervous .	CalmDownExercise	-0.25738493	True		calm_down	1
113	you are right . but i don’t know what to do regarding self-care , i have never done that before . as for the shortage , it was just stupid decisions from my boss . i don’t do self-care , i don’t know how . can you tell me how to take care of myself ?	CalmDownExercise	-0.56202525	False		calm_down	0
114	i struggle with racing thoughts . i think i started to feel this way because of stress . i think i am stressed because of family issues .	CalmDownExercise	-0.510404	True		calm_down	1
115	hi ! i have been up and down emotionally . i have been feeling down and stressed as long as i can remember . i got official diagnosis this year , so now i have proper terms for my mental health . but i’m still struggling because i’m “in progress” still . i mean things like: in the middle of things .	CalmDownExercise	-0.43102413	False		calm_down	0
116	i`ve been feeling stressed . my homework is causing my tension . i’m doing geometry about congruent triangles .	CalmDownExercise	-0.016534526	False		calm_down	0
117	i have been feeling good lately , what about you ? i would like to talk about whatever you want . i think sure that i can make me feel better .	CalmDownExercise	-0.588118	False		calm_down	0
118	i want to visit bali . can we go back to my anxiety issues ? i am worried about my son .	CalmDownExercise	-0.13041371	True		calm_down	1
119	i`ve been feeling sad and frustrated . i feel sad because a lot going on . i don’t know how to talk about it .	CalmDownExercise	-0.62998945	False		calm_down	0
120	i don’t really like opening up to people though . yeah , i guess that sharing my feelings with people is the only way to get better . i’m overthinking constantly . it really sucks .	CalmDownExercise	-0.24628225	True		calm_down	1
121	i going into school and having no friends and getting bullied . i think it is best if i do not go to school so someone in my class made a fake snapchat account of me and threatened some people in my class and they all thought it was me the police spoke to them but i still feel worried about going to school . i don’t think i should not go to school .	CalmDownExercise	-0.68361586	False		calm_down	0
122	well , i had a test in math last week that i got a 45% on so now i am so scared to write my final next week because my in class work is doing well either . i think my teacher does not help me because i really do not get math and my tutor does not help . because he doesn’t understand it either . what am i supposed to do ?	CalmDownExercise	-0.0019281176	False		calm_down	0
123	i am afraid of this world because it is full of fear . so i don’t know what can happen . this fear vanish out of me . yes , it is important to face it . my main concern is driving . getting into a accident and not arriving alive back home are two things that i would like to discuss with you .	CalmDownExercise	-0.07378797	False		calm_down	0
124	yes , it will be more difficult for me to find a job in the future . i want to have an investing job , such as a venture capitalist or a growth company , with autonomy and one that will pay out school tuition reimbursement . i feel bad about this idea . i keep having the same thoughts over and over .	CalmDownExercise	-0.23884732	True		calm_down	1
125	i`ve been feeling shit . i always seem to have family shit and then embarrassing things at school that get my anxiety going . it’s small things but my mind makes it such a big deal and i can never get over it for some weeks . like today in school .	CalmDownExercise	-0.56474006	False		after_break	0
126	i`ve been feeling stressed . lots of overwhelment from work , my relationship , and just balancing everything in general are causing my tension . i would say we have a good relationship . i just struggle with anxiety from a day to day life and he doesn’t understand mental health at all so to him it’s just get frustrated at me and i get worked up thinking it’s all my fault .	CalmDownExercise	-0.0066177407	False		calm_down	0
127	i’m scared and worried about it . my parents said that they are going to wedge me . i’m not sure what a wedgie is , but they said they’re going to do it .	CalmDownExercise	-0.6755449	False		calm_down	0
128	we can meet in the weekends . i`m feeling scared from future . i am scared for my wife is future career .	CalmDownExercise	-0.12029798	False		calm_down	0
129	i am scared , i do not want to look like i am talking back to her . thank you for listening to me . i will try to write to you as soon as i can . i feel useless the past few days , i just can not understand myself .	CalmDownExercise	-0.23119947	False		calm_down	0
130	you have helped me to feel better . i feel okay right now . i don’t know how i can make myself feel better in the future . if i knew that i wouldn’t be here .	CalmDownExercise	-0.057024665	False		calm_down	0
131	but it would be embarrassing for everyone at the beach to see my hard on . i guess you are right . i will try to get naked at the beach . maybe it will help me get rid of my stress and anxiety .	CalmDownExercise	-0.066128194	False		calm_down	0
132	how can i reduce my anxiety before going to sleep ? i can not stop my mind from racing . i don’t know how long i have been feeling this way .	CalmDownExercise	-0.08678305	False		calm_down	0
